horse_name,sex,age,weight_carried,jockey_name,gate_number,post_position,sire
サンラザール,牡,3,57.0,矢野貴之,1,1,
モコパンチ,牡,3,57.0,秋元耕成,2,1,
シーテープ,牡,3,57.0,本田重花,3,2,
ロックターミガン,牡,3,57.0,西村淳也,4,2,
リアライズグリント,牡,3,57.0,坂井瑠星,5,3,
ロウリュ,牡,3,57.0,吉原寛人,6,3,
エンドレスソロウ,牡,3,57.0,石川倭,7,4,
ミルトイブニング,牡,3,57.0,廣瀬航,8,4,
ゴッドフェンサー,牡,3,57.0,吉村智洋,9,5,
シルバーレシオ,牡,3,57.0,岩田望来,10,5,
フォースメン,牡,3,57.0,笹川翼,11,6,
フィンガー,牡,3,57.0,戸崎圭太,12,6,
コンヨバンコク,牡,3,57.0,岡村健司,13,7,
ロードルーチェ,牡,3,57.0,藤本現暉,14,7,
モエレサワンミヤギ,牡,3,57.0,本橋孝太,15,8,
デンテブリランテ,牡,3,57.0,藤田凌,16,8,
